login,full_name,created_at,pushed_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
marcobiedermann,marcobiedermann/mygym,2022-05-18T18:40:17Z,2024-10-27T05:38:37Z,1,1,,false,false,
MedRedha,MedRedha/MedRedha,2021-02-22T21:53:39Z,2024-10-27T05:16:37Z,6,6,,true,true,
hanshuebner,hanshuebner/bildschirmtext,2024-10-27T05:16:13Z,2024-10-27T05:16:32Z,0,0,Python,true,true,
tcurdt,tcurdt/tcurdt,2020-11-21T20:46:55Z,2024-10-27T05:09:15Z,5,5,,true,true,
fzerorubigd,fzerorubigd/bgtools,2024-09-01T17:56:49Z,2024-10-27T05:05:24Z,0,0,HTML,true,true,
PurpleBooth,PurpleBooth/flatter,2024-08-26T15:51:02Z,2024-10-27T05:03:22Z,0,0,,true,true,
nikic,nikic/llvm-compile-time-data-1,2023-09-30T08:23:10Z,2024-10-27T05:01:42Z,0,0,,true,true,cc0-1.0
turian,turian/local-pdf-nougat,2024-09-18T05:49:06Z,2024-10-27T04:49:10Z,0,0,Python,true,true,apache-2.0
camunda,camunda/c8-multi-region,2024-02-12T14:45:23Z,2024-10-27T04:47:00Z,3,3,Go,false,false,
candostdagdeviren,candostdagdeviren/candost.blog-astro,2023-07-26T05:26:14Z,2024-10-27T04:42:42Z,3,3,Astro,false,false,
prisma,prisma/prisma-examples,2018-08-15T15:56:33Z,2024-10-27T04:33:17Z,6127,6127,TypeScript,false,false,apache-2.0
tcurdt,tcurdt/nixcfg,2023-10-19T20:25:58Z,2024-10-27T04:28:14Z,8,8,Nix,true,false,
tcurdt,tcurdt/nixos-unattended-install-iso,2024-08-27T11:30:54Z,2024-10-27T04:25:51Z,7,7,Nix,true,true,
Byron,Byron/byron,2021-03-29T02:57:42Z,2024-10-27T03:28:23Z,1,1,,false,false,
prisma,prisma/ecosystem-tests,2019-12-13T13:50:51Z,2024-10-27T03:08:48Z,194,194,JavaScript,true,false,
slint-ui,slint-ui/www-releases,2024-03-28T00:11:48Z,2024-10-27T02:57:38Z,0,0,HTML,false,false,other
nschloe,nschloe/nschloe,2021-05-06T07:56:47Z,2024-10-27T02:46:04Z,1,1,,true,true,
hartwork,hartwork/sandwine,2023-02-25T17:38:09Z,2024-10-27T02:21:27Z,75,75,Python,true,true,gpl-3.0
fineanmol,fineanmol/plant-tree,2022-03-12T19:11:43Z,2024-10-27T02:04:05Z,1,1,JavaScript,true,true,
camunda,camunda/camunda-modeler,2015-09-18T09:38:04Z,2024-10-27T01:54:14Z,1497,1497,JavaScript,false,false,mit
splitbrain,splitbrain/splitbrain,2020-09-04T11:30:34Z,2024-10-27T01:43:21Z,3,3,,true,true,
shuding,shuding/nextra,2020-06-15T16:39:34Z,2024-10-27T01:40:39Z,11742,11742,TypeScript,false,false,mit
seyfer,seyfer/github-stats,2024-04-21T10:15:58Z,2024-10-27T01:37:50Z,1,1,Python,false,false,gpl-3.0
codepo8,codepo8/codepo8,2020-09-09T15:48:56Z,2024-10-27T01:31:52Z,3,3,,true,true,
AbdullahBakir97,AbdullahBakir97/AbdullahBakir97,2023-05-15T22:00:24Z,2024-10-27T01:30:33Z,15,15,,true,true,
prisma,prisma/prisma,2019-06-20T13:33:47Z,2024-10-27T01:29:06Z,39459,39459,TypeScript,true,false,apache-2.0
fzerorubigd,fzerorubigd/ecal-repo,2024-07-05T16:44:31Z,2024-10-27T01:28:17Z,0,0,Go,true,true,
camunda,camunda/keycloak,2023-08-10T13:56:51Z,2024-10-27T01:24:58Z,5,5,Dockerfile,false,false,apache-2.0
hartwork,hartwork/fetchcommandwrapper,2014-11-21T15:17:19Z,2024-10-27T01:19:47Z,9,9,Python,true,true,
dereuromark,dereuromark/cakephp-setup,2012-02-25T12:53:49Z,2024-10-27T00:57:13Z,34,34,PHP,false,true,mit
alexeygrigorev,alexeygrigorev/kids-horror-stories-ru,2024-07-25T16:06:52Z,2024-10-27T00:56:53Z,8,8,Python,true,true,
camunda,camunda/infraex-common-config,2024-05-08T13:11:57Z,2024-10-27T00:54:56Z,1,1,Shell,false,false,
spacecowb0y,spacecowb0y/awesome-stars,2020-09-09T07:48:41Z,2024-10-27T00:51:08Z,1,1,,false,false,
geekdada,geekdada/awesome-stars,2019-09-25T09:25:46Z,2024-10-27T00:49:46Z,10,10,,false,false,
nuhkoca,nuhkoca/nuhkoca,2020-07-13T15:59:30Z,2024-10-27T00:47:17Z,5,5,,true,true,
camunda,camunda/camunda-tf-eks-module,2023-10-25T12:20:30Z,2024-10-27T00:43:53Z,2,2,Go,false,false,apache-2.0
ndom91,ndom91/starred,2024-02-09T16:11:29Z,2024-10-27T00:35:37Z,0,0,,true,true,
delucis,delucis/astro-badge,2022-07-14T16:17:46Z,2024-10-27T00:34:01Z,85,85,Astro,false,false,
endocrimes,endocrimes/nixos-config,2019-06-26T12:04:56Z,2024-10-27T00:33:12Z,6,6,Nix,false,false,mit
kakkoyun,kakkoyun/kakkoyun,2020-07-09T06:01:09Z,2024-10-27T00:32:47Z,5,5,,true,true,apache-2.0
camunda,camunda/infra-global-github-actions,2022-01-06T09:08:31Z,2024-10-27T00:29:15Z,3,3,Shell,false,false,
christianparpart,christianparpart/Lightweight,2024-07-31T19:22:19Z,2024-10-27T00:26:15Z,4,4,C++,false,false,
kianenigma,kianenigma/kianenigma,2023-08-28T12:36:38Z,2024-10-27T00:23:55Z,0,0,Python,true,true,
soulshake,soulshake/soulshake,2020-08-23T17:43:17Z,2024-10-27T00:23:10Z,3,3,,true,true,
ManiMozaffar,ManiMozaffar/richapi,2023-04-01T09:59:16Z,2024-10-27T00:21:31Z,121,121,Python,true,true,
ff6347,ff6347/p5-easing,2024-09-24T10:21:26Z,2024-10-27T00:21:08Z,1,1,JavaScript,true,true,bsd-3-clause
ebrugulec,ebrugulec/year-progress,2020-10-26T21:49:42Z,2024-10-27T00:20:35Z,22,22,JavaScript,true,true,
geekdada,geekdada/ChatGPT-Next-Web,2023-04-02T04:49:04Z,2024-10-27T00:13:37Z,0,0,TypeScript,true,false,mit
geekdada,geekdada/surge-list,2018-10-11T05:12:57Z,2024-10-27T00:12:13Z,223,223,Smarty,true,true,
AmruthPillai,AmruthPillai/Reactive-Resume,2020-03-25T14:08:22Z,2024-10-27T00:10:57Z,23411,23411,TypeScript,false,false,mit
dmonad,dmonad/gutenberg,2019-11-06T21:52:36Z,2024-10-27T00:10:49Z,0,0,JavaScript,true,false,other
localheinz,localheinz/localheinz,2020-07-04T21:14:31Z,2024-10-27T00:06:17Z,2,2,Makefile,false,false,mit
plutov,plutov/plutov,2021-03-30T19:30:39Z,2024-10-27T00:01:15Z,0,0,,true,true,
philippjfr,philippjfr/panel-graphic-walker,2024-10-25T21:29:55Z,2024-10-26T23:44:57Z,2,2,Python,true,true,
ndom91,ndom91/ndom91,2020-07-10T15:51:33Z,2024-10-26T23:32:36Z,0,0,,true,true,
weaveworks,weaveworks/weave-gitops,2021-02-26T13:58:44Z,2024-10-26T23:09:41Z,919,919,MDX,true,false,apache-2.0
camunda,camunda/c8-sm-checks,2024-04-16T09:51:20Z,2024-10-26T22:45:31Z,0,0,Shell,false,false,other
ndom91,ndom91/nix-config,2024-02-26T14:48:46Z,2024-10-26T22:38:14Z,4,4,Nix,false,false,mit
